,carat,cut,color,clarity,depth,table,price,x,y,z
13355,0.24,2,1,5,63.1,56.0,419,3.95,3.98,2.5
13356,0.24,2,1,5,63.0,58.0,419,3.94,3.97,2.49
13357,0.24,2,1,5,61.5,58.0,419,4.02,4.05,2.48
13358,0.24,2,1,5,62.1,59.0,419,3.98,4.01,2.48
13359,0.24,2,2,5,61.4,58.0,419,3.99,4.05,2.47
13360,0.24,2,2,5,62.4,58.0,419,3.98,4.0,2.49
13361,0.24,2,2,5,62.9,58.0,419,3.94,4.01,2.5
13362,0.24,2,2,5,59.6,58.0,419,4.08,4.11,2.44
13363,0.24,2,2,5,61.9,59.0,419,3.98,4.0,2.47
13364,0.24,2,2,4,59.9,58.0,419,4.02,4.06,2.42
13365,0.24,2,2,4,63.0,58.0,419,3.92,3.95,2.48
13366,0.24,2,2,4,62.5,58.0,419,3.95,3.96,2.47
13367,0.24,2,2,4,63.0,59.0,419,3.93,3.97,2.49
13368,0.24,2,1,4,62.4,59.0,419,3.94,3.98,2.47
13369,0.24,2,1,4,59.8,58.0,419,4.02,4.11,2.43
13370,0.24,2,0,4,61.4,58.0,419,3.99,4.02,2.46
13371,0.24,2,0,4,62.2,58.0,419,3.95,3.99,2.47
13372,0.24,2,0,4,62.9,56.0,419,3.96,3.99,2.5
13373,0.24,0,2,5,62.2,57.0,419,3.96,4.01,2.48
13374,0.24,0,2,5,61.2,57.0,419,4.04,4.06,2.48
13375,0.24,0,2,4,61.3,56.0,419,4.0,4.03,2.46
13376,0.26,2,0,5,59.6,63.0,420,4.13,4.16,2.47
13377,0.26,2,0,4,63.3,57.0,420,4.03,4.06,2.56
13378,0.32,0,4,7,61.5,56.0,420,4.43,4.45,2.73
13379,0.32,0,4,7,61.9,54.0,420,4.42,4.46,2.75
13380,0.3,0,2,5,62.0,53.7,601,4.31,4.33,2.68
13381,0.3,0,2,5,62.3,53.5,601,4.27,4.32,2.68
13382,0.3,0,2,5,62.5,53.3,601,4.28,4.31,2.69
13383,0.3,0,0,4,61.0,58.0,601,4.3,4.36,2.64
13384,0.31,0,1,6,60.1,57.0,601,4.36,4.39,2.63
13385,0.37,0,6,1,61.9,54.0,601,4.63,4.68,2.88
13387,0.35,3,0,6,63.3,56.0,601,4.5,4.53,2.86
13388,0.35,1,0,6,61.5,58.0,601,4.53,4.55,2.79
13389,0.35,0,0,6,62.1,57.0,601,4.47,4.49,2.78
13390,0.38,0,3,7,61.6,55.0,602,4.64,4.68,2.87
13391,0.38,0,3,7,61.2,56.0,602,4.7,4.74,2.89
13392,0.38,0,2,7,62.1,56.0,602,4.62,4.65,2.88
13393,0.32,2,2,5,59.7,62.0,602,4.38,4.43,2.63
13394,0.32,3,2,5,63.3,57.0,602,4.34,4.38,2.76
13395,0.32,0,3,4,61.9,55.0,602,4.4,4.42,2.73
13397,0.32,0,2,5,61.9,55.0,602,4.41,4.45,2.74
13398,0.32,0,3,4,60.7,56.0,602,4.43,4.46,2.7
13399,0.32,2,2,5,63.0,57.0,602,4.33,4.37,2.74
13400,0.32,0,2,5,62.4,57.0,602,4.37,4.44,2.75
13401,0.32,2,3,4,61.2,62.0,602,4.41,4.45,2.71
13402,0.32,1,4,3,62.2,58.0,602,4.33,4.38,2.71
13403,0.32,2,2,5,61.2,58.0,602,4.38,4.41,2.69
13404,0.32,1,2,5,59.5,60.0,602,4.46,4.48,2.66
13405,0.35,2,4,4,60.0,57.0,603,4.57,4.6,2.75
13406,0.3,2,1,5,62.7,53.0,603,4.32,4.35,2.72
13407,0.3,2,2,4,63.1,59.0,603,4.2,4.27,2.67
13409,0.37,0,5,5,61.2,56.0,603,4.62,4.66,2.84
13710,0.37,0,4,5,60.7,58.0,603,4.64,4.68,2.83
13711,0.37,0,4,5,62.0,54.0,603,4.64,4.65,2.88
13712,0.37,0,4,5,61.7,55.0,603,4.64,4.67,2.87
13713,0.3,0,1,5,62.3,56.0,603,4.27,4.3,2.67
13714,0.3,0,1,5,62.0,57.0,603,4.26,4.29,2.65
13715,0.3,0,1,5,61.8,57.0,603,4.28,4.3,2.65
13716,0.3,0,1,5,62.0,53.0,603,4.31,4.33,2.68
13717,0.3,0,1,5,60.6,59.0,603,4.3,4.34,2.62
13718,0.37,0,5,4,60.8,56.0,603,4.67,4.71,2.85
13719,0.3,0,2,4,62.3,56.0,603,4.26,4.28,2.66
13720,0.39,0,3,7,61.2,56.0,603,4.71,4.73,2.89
13721,0.41,0,2,7,62.6,57.0,603,4.68,4.77,2.96
13722,0.38,0,1,7,61.5,55.0,603,4.69,4.72,2.89
13724,0.3,3,1,5,59.7,63.0,603,4.32,4.35,2.59
13725,0.27,1,1,4,60.2,59.0,603,4.24,4.2,2.54
13726,0.27,0,1,5,62.7,55.0,603,4.18,4.15,2.61
13727,0.27,0,1,4,61.6,57.0,603,4.16,4.12,2.55
13728,0.27,0,1,4,61.6,56.0,603,4.17,4.14,2.56
13729,0.27,1,1,4,61.5,58.0,603,4.22,4.17,2.58
13730,0.27,0,1,4,61.6,55.0,603,4.18,4.16,2.57
13731,0.27,1,0,5,62.0,57.0,603,4.15,4.11,2.56
13732,0.3,1,2,6,60.9,58.0,603,4.37,4.3,2.64
13733,0.28,2,1,3,60.2,58.0,604,4.24,4.27,2.56
13734,0.27,2,2,2,61.8,55.0,604,4.13,4.16,2.56
13735,0.33,0,3,5,61.7,55.9,604,4.45,4.49,2.75
13736,0.33,0,3,5,61.4,56.1,604,4.42,4.45,2.73
13737,0.32,0,2,6,60.6,57.0,604,4.45,4.49,2.71
13738,0.41,1,2,7,59.0,58.0,604,4.87,4.89,2.88
13739,0.41,0,6,4,62.2,55.0,604,4.76,4.79,2.97
14040,0.31,2,2,5,61.1,58.1,605,4.33,4.37,2.66
14041,0.26,0,3,2,62.8,54.0,605,4.07,4.09,2.56
14042,0.26,0,3,2,62.4,56.0,605,4.11,4.14,2.57
14043,0.38,0,6,4,62.2,55.7,605,4.63,4.65,2.89
14044,0.41,0,3,7,61.3,56.0,605,4.78,4.81,2.94
14045,0.26,0,3,1,62.2,55.0,605,4.09,4.13,2.55
14046,0.26,0,3,1,62.5,57.0,605,4.06,4.1,2.55
14047,0.36,1,1,7,62.4,58.0,605,4.56,4.54,2.84
14048,0.32,0,5,4,62.1,57.0,605,4.42,4.37,2.73
14049,0.32,0,5,4,62.3,56.0,605,4.4,4.37,2.73
14050,0.32,1,4,5,62.7,58.0,605,4.35,4.33,2.72
14052,0.31,1,3,5,61.2,59.0,605,4.4,4.36,2.68
14053,0.31,1,1,6,62.7,58.0,605,4.35,4.32,2.72
14054,0.3,1,2,5,61.1,59.0,605,4.29,4.32,2.63
14055,0.3,2,3,4,62.3,59.0,605,4.27,4.3,2.67
14056,0.3,1,2,5,61.4,60.0,605,4.29,4.34,2.65
14057,0.3,2,2,5,62.7,58.0,605,4.25,4.3,2.68
14058,0.3,1,3,4,61.8,59.0,605,4.34,4.37,2.69
14059,0.3,0,2,5,61.1,56.0,605,4.31,4.33,2.64
14060,0.3,0,2,5,60.4,56.0,605,4.34,4.37,2.63
14061,0.3,3,4,3,63.5,55.0,605,4.25,4.28,2.71
14062,0.3,0,4,3,62.6,55.0,605,4.25,4.28,2.67
14063,0.3,3,3,4,63.4,58.0,605,4.23,4.25,2.69
14064,0.3,0,2,5,61.8,57.0,605,4.31,4.33,2.67
14065,0.3,0,4,3,61.2,57.0,605,4.31,4.32,2.64
14066,0.3,0,2,5,62.5,55.0,605,4.27,4.31,2.68
14067,0.3,0,3,4,62.6,57.0,605,4.27,4.29,2.68
14068,0.3,2,2,5,62.8,56.0,605,4.29,4.31,2.7
14069,0.3,3,4,3,63.6,56.0,605,4.26,4.29,2.72
14370,0.3,0,4,3,61.3,57.0,605,4.31,4.33,2.65
14371,0.3,3,4,3,63.6,55.0,605,4.24,4.28,2.71
14372,0.3,0,2,5,62.7,57.0,605,4.27,4.31,2.69
14373,0.3,1,3,4,60.0,60.0,605,4.3,4.33,2.59
14374,0.3,2,4,3,61.0,61.0,605,4.3,4.32,2.63
14375,0.3,0,4,3,61.5,56.0,605,4.33,4.35,2.67
14376,0.3,1,2,5,60.7,58.0,605,4.32,4.35,2.63
14377,0.3,0,3,4,61.8,54.0,605,4.29,4.32,2.66
14378,0.3,0,4,3,62.2,57.0,605,4.26,4.29,2.66
14379,0.3,2,3,4,62.2,59.0,605,4.24,4.28,2.65
14380,0.3,1,2,5,61.4,60.0,605,4.27,4.3,2.63
14381,0.3,1,2,5,62.2,58.0,605,4.28,4.31,2.67
14382,0.3,2,3,4,62.8,58.0,605,4.26,4.28,2.68
14383,0.3,2,3,4,62.8,59.0,605,4.23,4.27,2.67
14384,0.3,0,4,3,61.7,54.0,605,4.31,4.34,2.67
14385,0.3,1,4,3,62.4,58.0,605,4.26,4.3,2.67
14386,0.3,0,2,5,61.8,56.0,605,4.3,4.31,2.66
14387,0.3,2,3,4,60.3,62.0,605,4.3,4.33,2.6
14388,0.3,3,4,3,63.7,55.0,605,4.24,4.27,2.71
14389,0.3,3,3,4,63.1,58.0,605,4.24,4.28,2.69
14390,0.3,2,4,3,62.8,57.0,605,4.22,4.25,2.66
14391,0.3,2,3,4,62.8,57.0,605,4.25,4.29,2.68
14392,0.3,2,3,4,62.9,58.0,605,4.27,4.32,2.7
14393,0.3,2,3,4,62.5,55.0,605,4.25,4.32,2.68
14394,0.3,2,3,4,62.9,60.0,605,4.26,4.29,2.69
14395,0.3,3,4,3,63.4,57.0,605,4.21,4.24,2.68
14396,0.3,0,4,3,61.5,57.0,605,4.31,4.34,2.66
14397,0.3,2,3,4,62.8,57.0,605,4.24,4.26,2.67
14398,0.3,3,3,4,63.6,55.0,605,4.26,4.29,2.72
14399,0.3,1,2,5,62.2,60.0,605,4.22,4.27,2.64
14700,0.3,0,2,5,62.3,57.0,605,4.3,4.33,2.69
14701,0.3,0,3,4,61.4,55.0,605,4.31,4.36,2.66
14702,0.3,0,3,4,61.5,57.0,605,4.31,4.34,2.66
14703,0.3,1,3,4,61.3,58.0,605,4.29,4.33,2.64
14704,0.3,0,2,5,60.7,57.0,605,4.29,4.34,2.62
14705,0.3,0,3,4,61.8,55.0,605,4.31,4.33,2.67
14706,0.3,2,3,4,62.9,60.0,605,4.18,4.22,2.64
14707,0.3,1,3,4,61.8,60.0,605,4.29,4.32,2.66
14708,0.3,0,4,3,60.4,56.0,605,4.32,4.36,2.62
14709,0.3,3,3,4,63.8,55.0,605,4.25,4.28,2.72
14710,0.3,0,2,5,61.6,57.0,605,4.28,4.32,2.65
14711,0.3,0,2,5,61.3,55.0,605,4.3,4.32,2.64
14712,0.3,1,3,4,61.9,59.0,605,4.28,4.32,2.66
14713,0.3,2,4,3,63.0,56.0,605,4.23,4.28,2.68
14714,0.3,1,4,3,61.5,58.0,605,4.28,4.3,2.64
14715,0.3,0,3,4,62.3,56.0,605,4.29,4.32,2.68
14716,0.3,1,2,5,62.5,58.0,605,4.29,4.32,2.69
14717,0.3,0,2,5,60.7,56.0,605,4.32,4.34,2.63
14718,0.3,3,4,3,63.1,60.0,605,4.24,4.28,2.69
14719,0.3,3,3,4,63.6,54.0,605,4.25,4.31,2.72
14720,0.3,0,3,4,62.5,57.0,605,4.29,4.32,2.69
14721,0.3,2,3,4,61.2,59.0,605,4.28,4.32,2.63
14722,0.3,1,4,3,62.0,58.0,605,4.3,4.35,2.68
14723,0.3,2,3,4,61.4,58.0,605,4.32,4.35,2.66
14724,0.3,1,3,4,61.4,60.0,605,4.3,4.33,2.65
14725,0.3,2,4,3,60.6,58.0,605,4.33,4.35,2.63
14726,0.3,0,3,4,62.2,55.0,605,4.28,4.31,2.67
14727,0.3,0,4,3,61.6,55.0,605,4.3,4.34,2.66
14728,0.3,3,3,4,63.1,56.0,605,4.24,4.26,2.68
14729,0.3,2,2,5,62.9,57.0,605,4.27,4.29,2.69
15030,0.3,0,3,4,61.7,57.0,605,4.3,4.32,2.66
15031,0.3,1,3,4,62.2,59.0,605,4.28,4.31,2.67
15032,0.3,0,2,5,62.0,54.0,605,4.31,4.34,2.68
15033,0.3,2,4,3,62.9,57.0,605,4.28,4.31,2.7
15034,0.3,2,3,4,62.9,57.0,605,4.28,4.31,2.7
15035,0.3,0,2,5,61.9,55.0,605,4.31,4.32,2.67
15036,0.3,2,2,5,62.9,57.0,605,4.26,4.29,2.69
15037,0.3,3,3,4,63.6,57.0,605,4.23,4.26,2.7
15038,0.3,0,4,3,61.1,55.0,605,4.32,4.36,2.65
15039,0.3,2,2,5,62.8,55.0,605,4.27,4.33,2.7
15040,0.3,1,3,4,61.9,59.0,605,4.3,4.32,2.67
15041,0.3,0,3,4,61.9,56.0,605,4.29,4.34,2.67
15042,0.3,2,2,5,62.9,57.0,605,4.29,4.33,2.71
15043,0.3,3,3,4,63.1,59.0,605,4.25,4.27,2.69
15044,0.3,2,2,5,62.8,58.0,605,4.24,4.29,2.68
15045,0.3,1,2,5,60.4,58.0,605,4.31,4.33,2.61
15046,0.3,0,2,5,62.0,55.0,605,4.31,4.33,2.68
15047,0.3,2,4,3,60.8,58.0,605,4.34,4.37,2.65
15048,0.3,0,3,4,62.0,54.0,605,4.3,4.35,2.68
15049,0.3,0,4,3,62.1,56.0,605,4.28,4.32,2.67
15050,0.3,0,2,5,61.4,57.0,605,4.34,4.36,2.67
15051,0.3,0,3,4,59.9,56.0,605,4.37,4.41,2.63
15052,0.3,1,2,5,61.5,60.0,605,4.26,4.29,2.63
15053,0.3,2,3,4,62.4,58.0,605,4.22,4.24,2.64
15054,0.3,2,2,5,62.8,58.0,605,4.25,4.28,2.68
15055,0.3,1,4,3,60.8,60.0,605,4.29,4.33,2.62
15056,0.3,0,3,4,61.4,57.0,605,4.29,4.34,2.65
15057,0.3,0,2,5,61.6,57.0,605,4.3,4.33,2.66
15058,0.3,3,3,4,63.3,56.0,605,4.26,4.3,2.71
15059,0.3,1,2,5,61.6,58.0,605,4.29,4.31,2.65
15360,0.3,0,4,3,61.3,56.0,605,4.33,4.35,2.66
15361,0.3,1,3,4,59.6,59.0,605,4.34,4.38,2.6
15362,0.3,2,3,4,61.7,60.0,605,4.24,4.28,2.63
15363,0.3,0,3,4,61.5,56.0,605,4.28,4.34,2.65
15364,0.3,3,3,4,63.6,55.0,605,4.27,4.31,2.73
15365,0.3,2,3,4,61.7,56.0,605,4.29,4.33,2.66
15366,0.3,2,3,4,62.0,60.0,605,4.23,4.28,2.64
15367,0.3,0,2,5,60.9,56.0,605,4.32,4.35,2.64
15368,0.3,2,3,4,62.1,60.0,605,4.24,4.3,2.65
15369,0.3,1,2,5,62.5,58.0,605,4.26,4.28,2.67
15370,0.3,1,2,5,60.6,60.0,605,4.36,4.39,2.65
15371,0.3,0,2,5,62.1,55.0,605,4.26,4.31,2.66
15372,0.27,2,1,3,61.2,60.0,606,4.16,4.17,2.55
15373,0.4,2,6,4,62.1,57.0,606,4.69,4.72,2.92
15374,0.36,2,3,6,61.8,57.8,606,4.52,4.58,2.81
15375,0.4,0,6,4,61.3,56.0,606,4.77,4.79,2.93
15376,0.35,1,5,6,62.5,58.0,606,4.53,4.49,2.82
15377,0.35,0,5,6,61.3,54.0,606,4.56,4.51,2.78
15378,0.35,3,5,6,63.6,56.0,606,4.53,4.5,2.87
15379,0.38,2,5,4,60.1,60.0,606,4.66,4.72,2.82
15380,0.3,0,0,5,61.8,55.0,606,4.32,4.35,2.68
15381,0.3,0,0,5,59.5,56.0,606,4.37,4.41,2.61
15383,0.37,0,1,6,61.4,56.0,606,4.6,4.65,2.84
15384,0.32,2,3,3,64.0,55.0,607,4.31,4.35,2.77
15385,0.29,2,3,2,61.6,56.0,607,4.24,4.27,2.62
15386,0.29,2,3,2,62.0,55.0,607,4.27,4.29,2.65
15387,0.29,2,3,2,61.5,57.0,607,4.24,4.27,2.62
15388,0.29,2,3,2,61.4,56.0,607,4.25,4.28,2.62
15389,0.29,0,4,3,61.6,55.0,607,4.27,4.29,2.64
15690,0.29,0,3,3,61.4,57.0,607,4.27,4.3,2.63
15691,0.29,0,3,3,60.7,54.0,607,4.33,4.37,2.64
15692,0.29,0,3,3,61.9,56.0,607,4.24,4.25,2.62
15693,0.36,0,5,2,61.6,56.0,607,4.58,4.61,2.83
15694,0.29,0,4,2,62.1,55.0,607,4.28,4.3,2.66
15695,0.29,0,3,2,62.3,55.0,607,4.25,4.29,2.66
15696,0.29,0,3,2,62.8,54.0,607,4.21,4.24,2.65
15697,0.35,0,2,6,61.5,54.0,607,4.57,4.6,2.82
15698,0.29,0,4,1,62.2,55.0,607,4.25,4.28,2.65
15699,0.29,0,4,1,60.7,57.0,607,4.3,4.33,2.62
15700,0.29,0,4,1,62.1,55.0,607,4.26,4.29,2.65
15701,0.34,0,3,6,62.7,57.0,607,4.51,4.48,2.82
15702,0.31,3,2,4,63.9,55.0,607,4.27,4.3,2.74
15703,0.24,2,2,3,61.8,56.0,608,4.01,4.04,2.48
15704,0.24,2,2,3,61.7,56.0,608,3.98,4.0,2.45
15705,0.24,2,2,3,60.6,59.0,608,4.04,4.06,2.45
15706,0.24,2,1,3,62.2,56.0,608,3.96,3.98,2.47
15707,0.24,2,1,3,62.4,54.0,608,3.96,3.99,2.48
15708,0.24,2,2,2,62.2,57.0,608,3.97,4.0,2.48
15709,0.24,2,2,2,62.3,56.0,608,3.97,4.01,2.49
15710,0.24,2,2,2,60.4,56.0,608,4.05,4.07,2.45
15711,0.24,2,2,2,62.5,55.0,608,3.98,4.02,2.49
15712,0.37,2,4,5,63.5,59.0,608,4.51,4.55,2.88
15713,0.37,0,3,6,61.0,56.0,608,4.61,4.68,2.84
15714,0.36,1,3,7,59.3,59.0,608,4.66,4.62,2.75
15715,0.36,1,3,7,62.4,58.0,608,4.58,4.56,2.85
15716,0.36,1,3,7,60.8,58.0,608,4.61,4.57,2.79
15717,0.36,1,3,7,61.9,56.0,608,4.59,4.55,2.83
15718,0.3,1,4,5,61.1,59.0,608,4.37,4.3,2.65
15719,0.3,0,5,4,61.6,56.0,608,4.36,4.31,2.67
16020,0.3,1,5,4,60.3,58.0,608,4.34,4.32,2.61
16021,0.3,1,5,4,59.8,60.0,608,4.36,4.34,2.6
16022,0.3,1,5,4,60.4,58.0,608,4.4,4.34,2.64
16023,0.3,0,5,4,61.0,56.0,608,4.37,4.35,2.66
16024,0.3,1,5,4,59.1,59.0,608,4.38,4.35,2.58
16026,0.3,1,5,4,60.5,60.0,608,4.33,4.3,2.61
16027,0.3,1,5,4,60.8,59.0,608,4.32,4.3,2.62
16028,0.3,2,5,4,63.4,54.0,608,4.32,4.29,2.73
16029,0.3,0,5,4,62.5,54.0,608,4.32,4.29,2.69
16030,0.3,0,5,4,62.5,57.0,608,4.32,4.29,2.69
16031,0.3,1,5,4,61.7,58.0,608,4.32,4.27,2.65
16032,0.3,1,5,4,62.0,58.0,608,4.3,4.25,2.65
16033,0.3,1,5,4,62.9,58.0,608,4.29,4.26,2.69
16034,0.3,1,5,4,61.7,59.0,608,4.3,4.26,2.64
16035,0.3,1,5,4,63.0,53.0,608,4.31,4.26,2.7
16036,0.3,1,5,4,61.6,60.0,608,4.3,4.27,2.64
16037,0.3,2,5,4,63.3,59.0,608,4.23,4.2,2.67
16038,0.3,1,5,4,62.9,59.0,608,4.3,4.22,2.68
16039,0.3,3,5,4,63.7,58.0,608,4.25,4.23,2.7
16040,0.3,2,5,4,63.5,57.0,608,4.29,4.24,2.71
16041,0.3,1,4,5,62.3,58.0,608,4.33,4.31,2.69
16042,0.3,1,4,5,60.9,61.0,608,4.35,4.32,2.64
16043,0.3,0,4,5,60.7,57.0,608,4.37,4.33,2.64
16044,0.3,1,4,5,61.8,60.0,608,4.31,4.26,2.65
16045,0.3,1,4,5,60.9,61.0,608,4.3,4.27,2.61
16046,0.3,2,4,5,63.5,54.0,608,4.3,4.27,2.72
16047,0.3,1,4,5,62.2,59.0,608,4.31,4.28,2.67
16048,0.3,1,4,5,61.1,61.0,608,4.33,4.31,2.64
16049,0.3,1,4,5,62.5,58.0,608,4.28,4.26,2.67
16350,0.3,1,4,5,62.9,59.0,608,4.3,4.26,2.69
16351,0.3,2,4,5,63.5,58.0,608,4.27,4.24,2.7
16352,0.3,1,4,5,63.0,59.0,608,4.29,4.25,2.69
16353,0.3,1,4,5,62.7,59.0,608,4.26,4.22,2.66
16354,0.3,1,4,5,62.7,59.0,608,4.27,4.22,2.66
16355,0.3,1,4,5,62.6,58.0,608,4.28,4.22,2.66
16356,0.3,1,4,5,62.5,59.0,608,4.28,4.23,2.66
16357,0.3,2,4,5,63.5,59.0,608,4.27,4.2,2.69
16359,0.3,1,4,5,61.1,61.0,608,4.32,4.29,2.63
16360,0.32,0,1,5,61.4,57.0,608,4.4,4.46,2.72
16361,0.33,1,0,6,60.1,59.0,608,4.46,4.49,2.69
16362,0.33,0,0,6,62.5,54.0,608,4.43,4.44,2.77
16363,0.33,1,0,6,60.3,58.0,608,4.47,4.49,2.7
16364,0.33,2,5,2,61.7,61.0,608,4.43,4.45,2.74
16365,0.33,0,0,6,62.4,54.0,608,4.41,4.44,2.76
16366,0.33,2,0,6,60.0,59.0,608,4.47,4.5,2.69
16367,0.33,1,5,2,61.9,60.0,608,4.41,4.44,2.74
16368,0.33,2,0,6,61.5,60.0,608,4.41,4.44,2.72
16369,0.33,0,0,6,62.7,55.0,608,4.4,4.44,2.77
16370,0.33,1,0,6,60.4,60.0,608,4.41,4.46,2.68
16371,0.33,0,0,6,61.3,56.0,608,4.44,4.46,2.73
16372,0.33,2,0,6,62.8,56.0,608,4.39,4.43,2.77
16373,0.33,2,5,2,62.5,61.0,608,4.38,4.42,2.75
16374,0.33,2,0,6,62.8,55.0,608,4.41,4.45,2.78
16375,0.28,0,0,2,61.7,57.0,608,4.2,4.23,2.6
16378,0.29,2,2,2,59.8,61.0,609,4.31,4.35,2.59
16379,0.29,2,1,2,59.5,61.0,609,4.29,4.31,2.56
16680,0.32,0,4,7,61.4,56.0,420,4.4,4.43,2.71
16681,0.29,0,3,6,62.1,54.0,420,4.25,4.29,2.65
16682,0.25,0,5,2,61.9,55.0,421,4.07,4.1,2.53
16683,0.31,0,5,5,61.2,55.0,421,4.36,4.4,2.68
16684,0.31,0,4,7,61.1,56.0,421,4.4,4.42,2.69
16685,0.31,0,4,7,61.3,55.0,421,4.35,4.38,2.67
16686,0.31,0,4,7,61.0,56.0,421,4.36,4.39,2.67
16687,0.31,0,1,7,59.5,61.0,421,4.42,4.45,2.64
16688,0.31,0,4,6,61.3,55.0,421,4.35,4.39,2.68
16689,0.31,0,4,6,61.3,55.0,421,4.36,4.41,2.69
16690,0.31,0,4,6,61.3,57.0,421,4.36,4.38,2.68
16691,0.36,1,6,6,61.3,60.0,421,4.52,4.59,2.79
16692,0.3,2,4,6,62.2,60.0,421,4.24,4.28,2.65
16693,0.32,3,5,6,63.5,57.0,421,4.3,4.33,2.74
16694,0.3,2,4,6,62.6,58.0,421,4.22,4.28,2.66
16695,0.32,0,3,7,62.5,55.0,421,4.37,4.4,2.74
16696,0.32,3,2,7,63.1,56.0,421,4.34,4.38,2.75
16697,0.32,1,6,4,61.9,58.0,421,4.33,4.39,2.7
16698,0.3,2,4,6,62.9,57.0,421,4.28,4.31,2.7
16699,0.3,3,4,6,63.7,56.0,421,4.2,4.22,2.68
16700,0.32,1,6,4,61.7,58.0,421,4.38,4.4,2.71
16701,0.3,0,4,6,62.6,55.0,421,4.28,4.32,2.69
16702,0.3,2,4,6,61.6,62.0,421,4.24,4.3,2.63
16703,0.32,0,6,4,61.3,57.0,421,4.41,4.43,2.71
16704,0.3,2,4,6,59.4,63.0,421,4.35,4.4,2.6
16705,0.3,1,4,6,61.2,60.0,421,4.29,4.31,2.63
16706,0.32,2,2,7,62.6,56.0,421,4.37,4.41,2.75
16707,0.3,3,4,6,63.4,58.0,421,4.26,4.29,2.71
16708,0.32,3,2,7,63.5,56.0,421,4.35,4.37,2.77
16709,0.3,2,1,7,61.7,61.0,421,4.29,4.33,2.66
16711,0.31,0,4,3,61.4,55.0,609,4.37,4.39,2.69
16712,0.31,0,4,3,61.4,56.0,609,4.38,4.41,2.7
16713,0.31,0,4,3,62.2,54.0,609,4.36,4.38,2.72
16714,0.39,0,5,6,62.1,55.0,609,4.66,4.71,2.91
16715,0.3,0,2,6,61.9,57.0,609,4.28,4.31,2.66
16716,0.3,0,2,6,61.2,55.0,609,4.35,4.37,2.67
16717,0.3,0,2,6,60.6,57.0,609,4.34,4.37,2.64
16718,0.3,2,0,5,62.9,55.0,610,4.31,4.34,2.72
16719,0.31,2,1,4,64.0,55.0,610,4.29,4.33,2.76
16720,0.3,0,4,3,62.3,54.4,610,4.28,4.32,2.68
16721,0.32,0,2,5,60.9,56.0,610,4.41,4.45,2.7
16722,0.33,0,4,4,61.6,55.0,610,4.46,4.48,2.75
16723,0.33,0,4,4,62.6,56.0,610,4.39,4.42,2.75
16724,0.38,0,5,6,61.7,56.0,610,4.64,4.67,2.87
16725,0.33,1,4,6,63.0,58.0,610,4.42,4.4,2.78
16726,0.33,0,4,6,63.0,57.0,610,4.41,4.39,2.77
16727,0.3,2,0,4,61.2,55.0,610,4.32,4.34,2.65
16729,0.3,1,0,4,60.2,59.0,610,4.39,4.42,2.65
16730,0.23,2,0,4,61.5,58.0,611,3.93,3.98,2.43
16732,0.4,2,1,7,61.6,55.0,611,4.75,4.83,2.95
16733,0.41,3,3,7,63.6,54.0,611,4.7,4.74,3.0
16734,0.41,1,6,5,61.9,59.0,611,4.69,4.74,2.92
16735,0.41,3,3,7,63.4,58.0,611,4.7,4.73,2.99
16736,0.41,3,6,5,63.4,56.0,611,4.7,4.73,2.99
16737,0.41,3,5,6,63.8,57.0,611,4.67,4.7,2.99
16738,0.41,1,3,7,61.4,58.0,611,4.75,4.8,2.93
16739,0.28,2,1,3,61.4,55.0,612,4.22,4.25,2.6
17040,0.28,2,1,2,60.9,60.0,612,4.25,4.26,2.59
17041,0.3,2,1,5,60.7,63.0,612,4.32,4.35,2.63
17042,0.41,2,2,7,62.6,54.0,612,4.75,4.77,2.98
17043,0.28,2,2,1,62.2,55.0,612,4.23,4.26,2.64
17044,0.28,0,2,3,61.6,55.0,612,4.22,4.26,2.61
17045,0.28,0,1,3,60.7,57.0,612,4.22,4.25,2.57
17046,0.32,0,1,5,61.3,56.0,612,4.41,4.46,2.72
17047,0.3,0,2,4,61.5,55.0,612,4.31,4.34,2.66
17048,0.3,0,2,4,62.1,55.0,612,4.31,4.35,2.69
17049,0.3,0,2,4,61.8,55.0,612,4.31,4.33,2.67
17050,0.3,0,2,4,61.9,56.0,612,4.3,4.32,2.67
17051,0.4,0,5,7,61.3,56.0,612,4.76,4.79,2.93
17052,0.41,0,2,7,61.6,54.0,612,4.78,4.8,2.95
17053,0.41,0,2,7,62.0,53.0,612,4.77,4.81,2.97
17054,0.4,0,6,6,61.6,56.0,612,4.72,4.77,2.93
17055,0.4,0,6,6,61.4,55.0,612,4.75,4.8,2.93
17057,0.34,0,1,7,62.0,56.0,612,4.48,4.45,2.77
17058,0.34,1,1,7,61.7,61.0,612,4.51,4.47,2.77
17059,0.32,0,3,6,61.3,56.0,612,4.42,4.39,2.7
17060,0.32,1,3,6,62.0,55.0,612,4.43,4.41,2.74
17061,0.32,1,3,6,60.9,56.0,612,4.45,4.41,2.7
17062,0.32,1,3,6,59.6,60.0,612,4.46,4.43,2.65
17063,0.32,1,3,6,62.6,58.0,612,4.37,4.35,2.73
17064,0.32,0,3,6,63.0,56.0,612,4.38,4.35,2.75
17065,0.32,2,3,6,63.5,56.0,612,4.38,4.35,2.77
17066,0.32,1,3,6,61.6,58.0,612,4.4,4.36,2.7
17067,0.32,1,3,6,61.0,61.0,612,4.41,4.38,2.68
